name,website,categories
ChatGPT,https://chat.openai.com,Text Generation|Chatbot|Content Creation
DALL-E,https://openai.com/dall-e-3,Image Generation|Art|Design
Midjourney,https://www.midjourney.com,Image Generation|Art|Design
GitHub Copilot,https://github.com/features/copilot,Code Generation|Programming|Developer Tools
Jasper,https://www.jasper.ai,Content Creation|Marketing|Text Generation
Runway,https://runwayml.com,Video Generation|Image Editing|Creative Tools
Grammarly,https://www.grammarly.com,Writing Assistant|Text Editing|Productivity
Notion AI,https://www.notion.so/product/ai,Note Taking|Productivity|Text Generation
Stable Diffusion,https://stability.ai,Image Generation|Open Source|Design
Anthropic Claude,https://www.anthropic.com/claude,Text Generation|Chatbot|Research
Hugging Face,https://huggingface.co,Machine Learning|Developer Tools|Open Source
Replicate,https://replicate.com,AI Deployment|Developer Tools|Cloud Services
Synthesia,https://www.synthesia.io,Video Generation|Avatar Creation|Marketing
Descript,https://www.descript.com,Audio Editing|Video Editing|Transcription
Copy.ai,https://www.copy.ai,Content Creation|Marketing|Text Generation
